isbn;title;author
0553574167;The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2);A. C. Crispin
0553574159;The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1);A. C. Crispin
0312287240;A Year of Full Moons;Madelyn Arnold
0679801146;Alanna: The First Adventure (Song of the Lioness (Paperback));Tamora Pierce
0446300101;The Beans of Egypt, Maine;Carolyn Chute
0821750410;Warrior Moon;Sara Orwig
0425142485;The Funhouse;Dean R. Koontz
0451456548;Cold Iron;Melisa Michaels
0060006048;Circle of Three #12: Written in the Stars (Circle of Three);Isobel Bird
0312906552;The Space Merchants;Frederik Pohl
0440117291;DREAMSNAKE;VONDA MCINTYRE
0425049981;Titan;John Varley
0374386676;The Year They Burned the Books;Nancy Garden
0786886463;A Density of Souls;Christopher Rice
0345395379;Slow River;Nicola Griffith
0380788497;Changer;Jane Lindskold
0307215342;Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road);Julie Campbell
0374343381;Lark in the Morning;Nancy Garden
0345403339;Saving Grace;LEE SMITH
0440226694;Lena (50 State Quarters);JACQUELINE WOODSON
0440219604;I Hadn't Meant to Tell You This;Jacqueline Woodson
0767903285;Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season;Pat Head Summitt
0345429176;Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe;Richard Belzer
038529929X;Hannibal;Thomas Harris
1573229571;About a Boy (Movie Tie-In);Nick Hornby
0345418778;Mostly Harmless;Douglas Adams
0517201658;The Thorn Birds (Modern Classics);Colleen McCullough
0743211383;Dreamcatcher;Stephen King
039914370X;Sudden Mischief (Spenser Mysteries (Hardcover));Robert B. Parker
1884777805;Elements of Programming With Perl;Andrew L. Johnson
0312977905;To Catch a Cat;Marian Babson
0812521331;People of the Wolf (The First North Americans series, Book 1);W. Michael Gear
0451205421;The Door to December;Dean R. Koontz
0894342789;College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers);Paul Phifer
0440218535;Smilla's Sense of Snow;Peter Hoeg
0449207595;The Grass Is Always Greener over the Septic Tank;Erma Bombeck
8806142267;Viaggi del tempo immobile (I coralli);Roberto Vecchioni
0670844594;Rumpole on Trial;John Mortimer
039457513X;Billy Bathgate;E. L. Doctorow
0394559487;Citizens: A Chronicle of the French Revolution;Simon Schama
0804001944;The Man Who Killed the Deer;Frank Waters
0590897985;The Music of Dolphins (Apple Signature Edition);Karen Hesse
0689832877;Sunwing (Aladdin Fantasy);Kenneth Oppel
0689829698;Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction);Carol Ryrie Brink
0439042917;The Hork-Bajir Chronicles (Animorphs Series);K. A. Applegate
0064409457;The Silver Chair (full color) (Narnia);C. S. Lewis
0064405052;The Magician's Nephew (Narnia);C. S. Lewis
043922165X;Circles in the Stream (Avalon: Web of Magic, 1);Shelly R. Roberts
0152162445;High Wizardry: The Third Book in the Young Wizards Series;Diane Duane
0152162577;Deep Wizardry: The Second Book in the Young Wizards Series;Diane Duane
015216250X;So You Want to Be a Wizard: The First Book in the Young Wizards Series;Diane Duane
1562477528;Going for Great (Ag Fiction (American Girl));Carolee Brockmann
0439221676;All That Glitters (Avalon, 2);Rachel Roberts
0439221684;Cry of the Wolf (Avalon, 3);Rachel Roberts
0439221714;The Secret of the Unicorn (Avalon Web of Magic, 4);Rachel Roberts
0439221706;Avalon: Web Of Magic #5: Spellsinger;Rachel Roberts
0439221730;Trial by Fire;Rachel Roberts
0440415993;Ties That Bind, Ties That Break (Laurel-Leaf Books);Lensey Namioka
0895872102;The Hauntings of Williamsburg, Yorktown, and Jamestown;Jackie Eileen Behrend
068983585X;The Janitor's Boy;Andrew Clements
0345391802;The Hitchhiker's Guide to the Galaxy;Douglas Adams
0440219078;The Giver (21st Century Reference);LOIS LOWRY
185424597X;The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun;Paul Hattaway
2080105434;The Little Book of Chocolate (Little Book Of...(Flammarion));Alain Stella
349913358X;Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).;Milena Moser
3257201761;Die zwei Gesichter des Januars.;Patricia Highsmith
3404121686;Nacht Ã?Â¼ber den Wassern.;Ken Follett
3404118960;Die SÃ?Â¤ulen der Erde. Roman.;Ken Follett
0345356578;A Man Rides Through (Man Rides Through);Stephen Donaldson
0345346971;Mirror of Her Dreams (Mordant's Need);STEPHEN R. DONALDSON
0753804700;Reader;Bernhard Schlink
0451155750;The Dead Zone;Stephen King
0786890436;The Diary of Ellen Rimbauer: My Life at Rose Red;Ellen Rimbauer
0415928087;A New Germany in a New Europe;Todd Herzog
0521427150;Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology);John Borneman
0812923278;The Great Depression : America 1929-1941;ROBERT S. MCELVAINE
0884111342;Lady of the Shroud;Bram Stoker
0345428544;Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2);Michael A. Stackpole
0671694049;LONG DARK TEA TIME OF THE SOUL;Douglas Adams
080901582X;The Return of Simple;Langston Hughes
0449006557;"Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback))";Anne Perry
0373250339;A Minor Indiscretion (Red Dress Ink (Paperback));Carol Matthews
0380820447;For Better, for Worse: A Novel;Carole Matthews
0385497679;Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad;Jacqueline L. Tobin
0451454243;The Forest House;Marion Zimmer Bradley
0941423042;American Poetry Since 1970: Up Late;Andrei Codrescu
0373871562;Twin Blessings (Love Inspired (Numbered));Carolyne Aarsen
0553101439;West of Dodge: Frontier Stories;Louis L'Amour
0898151910;How to Make $1,000 a Minute: Negotiating Salaries and Raises;Jack Chapman
0835949362;Non-manipulative selling;Anthony J Alessandra
0880701102;Come Before Winter and Share My Hope;Charles R. Swindoll
039914563X;The Bear and the Dragon;Tom Clancy
0312853238;Ender's Game (Ender Wiggins Saga (Paperback));Orson Scott Card
0688048730;Thinking on paper;V. A Howard
0425161722;Net Force;Tom Clancy
0385493800;The Testament;John Grisham
0849916399;The Internet Church;Walter P. Wilson
1928791107;The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution;Bruce Fries
067175145X;The Way Things Ought to Be;Rush H., III Limbaugh
0440211727;A Time to Kill;JOHN GRISHAM
0877192820;The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts;Anne Dingus
0380002450;Awakening;Kate Chopin
0793133955;"Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp; Mutual Funds (Wall Street's Picks)";Kirk Kazanjian
0394178017;Poetics of the New American Poetry;Donald Merriam Allen
0425134350;Patriot Games;Tom Clancy
0385479689;Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist;William Maples
0380754851;Moonlighting: 148 Great Ways to Make Money on the Side;Carl Hausman
0380538504;Amanda Miranda;Richard Peck
044661162X;Chasing the Dime;Michael Connelly
0671742566;Tender Triumph (Sonnet Books);Judith McNaught
0515122408;The Cat Who Tailed a Thief;Lilian Jackson Braun
0440222818;Guilt;John T. Lescroart
0451204050;On Secret Service;John Jakes
038533334X;Charming Billy;Alice McDermott
0449131548;All the Days of My Life;Hilary Bailey
0440120470;The Dinner Party;Howard Fast
0451188209;A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback));Jessica Fletcher
0440130913;Golden Cup;Belva Plain
0449001954;Murder at the Library of Congress (Capital Crimes (Paperback));Margaret Truman
0345404777;No Safe Place;RICHARD NORTH PATTERSON
0451185277;Thorns of Truth;Eileen Goudge
0440224829;Granny Dan;DANIELLE STEEL
0671779338;Border Bride;Arnette Lamb
0515134368;The Penwyth Curse;Catherine Coulter
0380759497;Xanth 15: The Color of Her Panties;Piers Anthony
3442098424;Der FÃ?Â¼rst der Finsternis. Roman.;Anne Rice
0394578791;A Reporter's Life;WALTER CRONKITE
1558505377;Jacob Marley's Christmas Carol;Tom Mula
0373245696;Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569);Lois Faye Dyer
0743201078;The Secret Lives of Girls: What Good Girls Really Do--Sex Play, Aggression, and Their Guilt;Sharon Lamb
068983571X;Hound of the Baskervilles (Aladdin Classics);Sir Arthur Conan Doyle
0553256785;SLEEPING MURDER;AGATHA CHRISTIE
0892967994;The Fractal Murders (Pepper Keane Mysteries);Mark Cohen
0061064505;Blowtorch Psycho.Com (Bone Chillers, No 18);Sherry Shahan
1551668785;Final Stand;Helen Myers
0836230868;Christmas : A Holiday Treasury;Della Rowland
0381999866;Magic House of Numbers.;Irving. Adler
0380817144;Lord of the Silent: A Novel of Suspense;Elizabeth Peters
0380752115;Whisper to Me of Love;Shirlee Busbee
0553212583;Wuthering Heights;EMILY BRONTE
0446364762;The Stars Shine Down;Sidney Sheldon
0425166619;Toxin;Robin Cook
061312975X;This Present Darkness;Frank E. Peretti
0765341972;The Mothman Prophecies;John A. Keel
0590514776;Meet the Stars of Buffy the Vampire Slayer;Stefanie Scott
0373037430;Rush to the Altar  (Twin Brides);Rebecca Winters
0064472779;All-American Girl;Meg Cabot
0553581279;The Silver Metal Lover;Tanith Lee
0373750013;The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997);Cathy Gillen Thacker
0393030342;A Christmas Story;Richard Burton
0553561618;Dark Paradise;TAMI HOAG
0312422156;Middlesex: A Novel;Jeffrey Eugenides
0425139069;Somebody Help Me;Beverly Hastings
0450029956;Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series);Cyrano de Bergerac
0130139165;Introduction to Fire Prevention (5th Edition);James C. Robertson
0373196741;To Catch A Sheik  (Desert Brides);Teresa Southwick
0451524489;The Awakening and Selected Stories of Kate Chopin (Signet Classic);Kate Chopin
0140065172;Ordinary People;Judith Guest
044022165X;The Rainmaker;JOHN GRISHAM
0373123485;On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348);Sandra Field
0373123108;Sleeping Partners  (Nine to Five);Helen Brooks
0590225170;The Real Mother Goose;Blanche Fisher Wright
0399143165;Toxin;Robin Cook
044132231X;Heathcliff Gone Fishing;George Gately
0425124347;The Bad Place;Dean R. Koontz
0786889705;Two for Texas;James Lee Burke
0312282990;"The Amazing Adventures of Kavalier &amp; Clay";Michael Chabon
0425137945;Greygallows;Barbara Michaels
042512892X;Into the Darkness;Barbara Michaels
0425113892;Someone in the House;Barbara Michaels
0394820371;The Phantom Tollbooth;Norton Juster
0449134482;Dances With Wolves;Michael Blake
014036336X;The House With a Clock in Its Walls;John Bellairs
0375821813;Hoot (Newbery Honor Book);CARL HIAASEN
0812516826;Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery);Carole Nelson Douglas
0345348036;The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure;WILLIAM GOLDMAN
0679420118;A Dangerous Place: California's Unsettling Fate (Images of America);Marc Reisner
0871137380;Black Hawk Down: A Story of Modern War;Mark Bowden
0741409690;The Burberry Style;Jonathan Pearce
0741407213;Heavier Than Air (Balona Books);Jonathan Pearce
0759612277;A Little Honesty: Trials and Triumphs of a Prince of Balona;Jonathan Pearce
0741402858;The Balona Klongs;Jonathan Pearce
1585007366;Sang Froyd (Balona Books);Jonathan Pearce
074141127X;The Chocolate Korndog;Jonathan Pearce
0741403471;One Brick Shy;Jonathan Pearce
0741403781;Spring Break;Jonathan Pearce
0741403056;Focusing the Private Eye;Jonathan Pearce
0741405784;A Cuisine of Leftovers;Jonathan Pearce
0741402912;Finding Dad;Jonathan Pearce
0553568760;Natural Causes;Michael Palmer
034538184X;Degree of Guilt;Richard North Patterson
0140620125;Wuthering Heights (Penguin Popular Classics);Emily Bronte
0140620109;Emma (Penguin Popular Classics);Jane Austen
0375420827;The Art of Travel;Alain de Botton
0671745530;SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback));Douglas Adams
0805062971;Fight Club;Chuck Palahniuk
0553211412;Wuthering Heights;Emily Bronte
0671510053;SHIPPING NEWS;Annie Proulx
1573229385;The Frog King: A Love Story;Adam Davies
0945397410;Outhouses of Alaska;Harry M. Walker
0385334036;The Smoke Jumper;Nicholas Evans
0060914653;The Unbearable Lightness of Being;Milan Kundera
0345347536;A Spell for Chameleon (Xanth Novels (Paperback));Piers Anthony
055321313X;Anne of Green Gables (Anne of Green Gables Novels (Paperback));L.M. MONTGOMERY
3473540420;Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama);Vinke
0375507256;Cloud Atlas : A Novel;DAVID MITCHELL
0060529709;Everything Is Illuminated : A Novel;Jonathan Safran Foer
0876850867;Post Office;Charles Bukowski
0140274154;On the Road (Essential.penguin S.);Jack Kerouac
0679743464;Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International);Haruki Murakami
0375704027;Norwegian Wood (Vintage International Original);Haruki Murakami
0874067391;A Little Princess;Frances Hodgson  Burnett
0590484753;Talking to Dragons (Enchanted Forest Chronicles (Paperback));Patricia C. Wrede
0451527038;The Call of the Wild: And Selected Stories (Signet Classics (Paperback));Jack London
1590520777;A Life God Rewards for Teens (The Breakthrough Series);Bruce Wilkinson
0590484672;Calling on Dragons (Read with Me Paperbacks);Patricia C. Wrede
0975311255;A Temporary New Wife;Malcolm Goodway
0743237188;Fall On Your Knees (Oprah #45);Ann-Marie MacDonald
0553586122;Reap the Wind;Iris Johansen
0553584510;The Survivors Club;LISA GARDNER
0345341201;Sins of Omission;FERN MICHAELS
1551662744;White Lies;Linda Howard
0440175623;Random Winds;Belva Plain
0440216842;The Carousel;Belva Plain
0345443284;While I Was Gone;Sue Miller
0553285653;Grass;Sheri S. Tepper
0394800133;One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books);DR SEUSS
0060972777;This Boy's Life: A Memoir;Tobias Wolff
0064401472;Zlateh the Goat and Other Stories;Isaac Bashevis Singer
0156001942;Winter's Tale;Mark Helprin
055326382X;The Dancing Wu Li Masters: An Overview of the New Physics;Gary Zukav
0345418018;The World According to Garp (Ballantine Reader's Circle);John Irving
0684801469;Farewell To Arms;Ernest Hemingway
0393961192;The American Constitution: Its Origins and Development, Seventh Edition, Volume II;Alfred H. Kelly
9997522052;Collected Works of Emile Zola;Emile Zola
0872203492;Plato Complete Works;Plato
0312420145;The Twenty-Seventh City : A Novel (Bestselling Backlist);Jonathan Franzen
0911104542;Cat (kat), n;B Kliban
0375401318;Breaking Clean;JUDY BLUNT
0140253602;Felicia's Journey;William Trevor
0671789422;Possessing the Secret of Joy;Alice Walker
1566193966;History of Croatia;Stephen Gazi
014016930X;Angle of Repose (Contemporary American Fiction);Wallace Stegner
0140077022;White Noise (Contemporary American Fiction);Don DeLillo
0679732764;Invisible Man;Ralph Ellison
0553273604;Of Love and Shadows;Isabel Allende
0553273914;The House of the Spirits;Isabel Allende
0060256672;Where the Sidewalk Ends : Poems and Drawings;Shel Silverstein
039592720X;Interpreter of Maladies;Jhumpa Lahiri
1859671500;Glorious Country: Food Crafts Decorating;Liz Trigg
0810935627;Loving;Charles Sullivan
0060928336;Divine Secrets of the Ya-Ya Sisterhood: A Novel;Rebecca Wells
0671003755;She's Come Undone (Oprah's Book Club (Paperback));Wally Lamb
0553268449;JITTERBUG PERFUME;TOM ROBBINS
0684844729;STONES FROM THE RIVER;Ursula Hegi
0395051649;Clarissa (abridged);Samuel Richardson
0375705228;Italian Fever: A Novel;Valerie Martin
038001503X;One Hundred Years of Solitude;Gabriel Garcia Marquez
0835607860;The Illustrated Encyclopedia of Buddhist Wisdom;Gill Farrer-Halls
158574218X;Common Phrases: And Where They Come From;John Mordock
0806996021;"Notions And Potions: A Safe, Practical Guide To Creating Magic &amp; Miracles";Susan Bowes
0440215625;Dragonfly in Amber;DIANA GABALDON
0316777730;Naked;David Sedaris
0375501851;White Teeth;Zadie Smith
0877733759;Writing Down the Bones;NATALIE GOLDBERG
0805019367;K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.);Sue Grafton
0140070206;Ironweed;William J. Kennedy
0140236589;Swimming in the Volcano: A Novel;Bob Shacochis
0140042393;The Grapes of Wrath;John Steinbeck
1590520653;The Grace and Truth Paradox: Responding with Christlike Balance;Randy Alcorn
1590521994;The Best Thing I Ever Did for My Marriage : 50 Real Life Stories;Nancy Cobb
3446202218;Kreutzersonate. Eine Liebesgeschichte;Margriet de Moor
3499134446;Tollivers Reisen. Stadtgeschichten IV.;Armistead Maupin
067142517X;HOW TO WIN FRIENDS, REVISED;Dale Carnegie
0671726889;CUCKOO'S EGG;Clifford Stoll
0446601241;Kiss the Girls;James Patterson
0451124340;Different Seasons;Stephen King
0345384466;The Witching Hour (Lives of the Mayfair Witches);ANNE RICE
0446604801;"Jack &amp; Jill (Alex Cross Novels)";James Patterson
0345422392;Vittorio the Vampire: New Tales of the Vampires;Anne Rice
0679734775;The House on Mango Street (Vintage Contemporaries);SANDRA CISNEROS
0440414717;My Life in Dog Years;Gary Paulsen
0689715625;Black Gold;Marguerite Henry
0812539389;Red Unicorn (Tor Fantasy);Tanith Lee
0152013369;The Silent Storm: Scholastic Edition;Sherry Garland
0425124819;Black Rainbow;Barbara Michaels
0345409469;The Demon-Haunted World: Science As a Candle in the Dark;Carl Sagan
1558747346;Teen Love:  On Relationships, A Book for Teenagers;Kimberly Kirberger
0373250177;On The Verge (Red Dress Ink (Paperback));Ariella Papa
0763615382;Chaser: A Novel in E-Mails;Michael J. Rosen
0965975401;Cool Women;Dawn Chipman
0141001771;Welcome to My Planet: Where English Is Sometimes Spoken;Shannon Olson
068930935X;A STRING OF CHANCES (String of Chances Nrf);Phyllis Reynolds Naylor
0451523369;Frankenstein Or, the Modern Prometheus;Mary Wollstonecraft Shelley
0786884622;World of Pies : A Novel;Karen Stolz
0449005569;Love: A User's Guide;CLARE NAYLOR
0671027344;The Perks of Being a Wallflower;Stephen Chbosky
8885989632;Patapim e patapam (Le formiche);Antonio Albanese
0786927089;Dragons of Summer Flame;Margaret Weis
0684831058;DANCING AT THE RASCAL FAIR;Ivan Doig
006019491X;Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover));Isabel Allende
0684819066;A Beautiful Mind : A Biography of John Forbes Nash, Jr.;Sylvia Nasar
0375420673;The Bridegroom: Stories (Great Reads);Ha Jin
0140368558;Kiss the Dust;Elizabeth Laird
0395353416;Slippage: Previously Poised, Previously Uncollected Stories;Harlan Ellison
0066211611;Portrait in Sepia;Isabel Allende
0312254164;The Pilgrimage Road to Santiago : The Complete Cultural Handbook;David M. Gitlitz
3453147243;Der Magier. Der Erbe der Nacht.;Wolfgang Hohlbein
3746611229;Der fremde Freund. (Drachenblut).;Christoph Hein
3492229336;Die Meute der Erben.;Gaby Hauptmann
3453177800;Ein Mann fÃ?Â¼r jede Gelegenheit.;Carolyn See
3423009152;Der Geteilte Himmel;Christa Wolf
3596133319;Helden wie wir.;Thomas Brussig
3822813397;Schamanismus. Reisen der Seele. Magische KrÃ?Â¤fte. Ekstase und Heilung.;Piers Vitebsky
3426871874;Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.;Christopher Weidner
3453171977;Das Meer und kleine Fische.;Terry Pratchett
3423620005;Sofies Welt. Roman Ã?Â¼ber die Geschichte der Philosophie.;Jostein Gaarder
034537522X;The Book of Lost Tales 2 (The History of Middle-Earth - Volume 2);J.R.R. TOLKIEN
0345375211;The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1);J. R. R. Tolkien
034545829X;Waking Up Screaming: Haunting Tales of Terror;H. P. Lovecraft
0140042520;Dharma Bums;Jack Kerouac
0380789035;American Gods;Neil Gaiman
0446677574;Just Here Trying to Save a Few Lives : Tales of Life and Death from the ER;Pamela Grim
0345358791;2061: Odyssey Three;Arthur C. Clarke
0060964049;Tales of the City (Tales of the City Series, V. 1);Armistead Maupin
0380558483;Pigeon;Jay Bennett
1558171398;Deadly Sleep;John Applegate
0425121046;Demon Night;J. Michael Straczynski
0441317502;Harp and the Blade;John Myers Myers
0804102279;The World, the Flesh and the Devil;Reay Tannahill
0812551389;The Skystone (Whyte, Jack. Camulod Chronicles, Bk. 1.);Jack Whyte
0345298985;One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.);Stephen R. Donaldson
0345316991;White Gold Wielder Chronicles 3 (Second Chronicles of Thomas Covenant);Stephen R Donaldson
034531042X;Wounded Land (Second Chronicles of Thomas Covenant);Stephen R. Donaldson
0345310306;The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book Three);Stephen R. Donaldson
0345310292;Illearth War / Thomas Covenant #02 (Chronicles of Thomas Covenant the Unbeliever);Stephen Donaldson
034531011X;Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One);Stephen R. Donaldson
0679734058;Killing Mister Watson;Peter Matthiessen
0451130448;Exocet;Jack Higgins
0553266500;The Crib;Paul Kent
0440206154;Red Dragon;Thomas Harris
0345370775;Jurassic Park;Michael Crichton
0441366945;Imaginary Lands;Robin McKinley
0553574833;"So That Others May Live: Caroline Hebard &amp; Her Search-And-Rescue Dogs";Hank Whittemore
0915950839;How to Get Your Kid to Eat but Not Too Much;Ellyn Satter
0060242388;Shape Changer;Bill Brittain
0452265347;The Piano Lesson (Plume Drama);August Wilson
0743457943;Trading Places;Fern Michaels
0373484224;Stanislaski Brothers (Silhouette Promo);Nora Roberts
0553205757;Housekeeping;Marilynn Robinson
0060171510;A Feather on the Breath of God: A Novel;Sigrid Nunez
0312421001;I Thought My Father Was God: And Other True Tales from NPR's National Story Project;Paul Auster
0786000988;Highland Fling;Amanda Scott
0380789019;Neverwhere;Neil Gaiman
0451135989;French Lieutenant Woman;John Fowles
0380018179;The Thorn Birds;Colleen McCullough
0679004785;Fodor's Exploring London, 4th Edition (Fodor's Exploring London);Christopher Catling
0684825821;On Her Own Ground : The Life and Times of Madam C.J. Walker;A'Lelia Bundles
0517395754;Four Complete Lord Peter Wimsey Novels;Dorothy L. Sayers
067101420X;Forever... : A Novel of Good and Evil, Love and Hope;Jude Deveraux
0679457313;The God of Small Things;Arundhati Roy
0394557433;Gift From The Sea;Anne Morrow Lindbergh
0553571656;The Beekeeper's Apprentice;LAURIE R. KING
0312169787;The Red Tent : A Novel;Anita Diamant
0942257324;The Earth House;Jeanne Duprau
0805008950;Tracks;Louise Erdrich
0786866276;Mother of Pearl;Melinda Haynes
0151000638;Baba: A Return to China upon My Father's Shoulders;Belle Yang
0140266771;Larry's Party;Carol Shields
015644450X;"In Love &amp; Trouble: Stories of Black Women";Alice Walker
0679723420;Pale Fire: A Novel (Vintage International);Vladimir Vladimirovich Nabokov
0441004016;The Anubis Gates;Tim Powers
0671500546;The Vulcan Academy Murders;Jean Lorrah
0140620338;Picture of Dorian Gray;Oscar Wilde
0460878263;Samuel Taylor Coelridge (Everyman Poetry Library);John Beer
3257061269;Der Alchimist.;Paulo Coelho
3453210999;Das Lied der alten Steine.;Barbara Erskine
3404126661;Suche Hose, biete Rock.;Annegrit Arens
3453177622;Zeit im Wind.;Nicholas Sparks
3453863593;Shadowrun. Deutschland in den Schatten.;Hans Joachim Alpers
3499108518;Der Fanger Im Roggen;Jerome D. Salinger
3518367064;Demian. Die Geschichte von Emil Sinclairs Jugend.;Hermann Hesse
3453199766;Vielleicht lieber morgen.;Stephen Chbosky
3746670144;Ich, Prinzessin Viola: Ein altes Haus und seine Besetzer;Claudia von Zglinicki
3453088433;Das Druidentor.;Wolfgang Hohlbein
0425137015;Timeless/Four Breathtaking Tales of Hearts That Reach Across Time-For Love: A Midsummer Day's Dream/Lovers of the Golden Drum/Out of Time/Echoes of L;Linda Lael Miller
0553572490;Vice;Jane Feather
0553576976;West of Dodge;LOUIS L'AMOUR
0451450604;The Union Forever (Lost Regiment (Numbered));William Forstchen
0441001335;The Callahan Touch;Spider Robinson
0451454677;Caverns of Socrates;Dennis L. McKiernan
0373257074;Between The Sheets (Harlequin Temptation, No 607);Mallory Rush
0441435351;Kent Montana and the Really Ugly Thing from Mars;Lionel Fenn
0373092237;Black Knight;Carole Halston
0373057296;Midsummer Madness (Silhouette Desire, No 729);Christine Rimmer
0373058446;Hand Of An Angel (Silhouette Desire, No 844);BJ James
0349103232;The crow road;Iain Banks
0571197779;Life Is Elsewhere;Milan Kundera
0679745653;Breakfast at Tiffany's: And Three Stories (First Vintage International);Truman Capote
0571200389;Golden Gate;Vikram Seth
0785268480;Rachel's Tears: The Spiritual Journey of Columbine Martyr Rachel Scott;Darrell Scott
014044503X;The Sorrows of Young Werther (Penguin Classics);Johann Wolfgang Von Goethe
0851707777;Metropolis (Bfi Film Classics, 54);Thomas Elsaesser
0006276199;Alien at St Wilfred's;Adrian Plass
0551031123;Why I Follow Jesus;Adrian Plass
0551030682;Sacred Diary of Adrian Plass, Christian Speaker Aged 45 3/4;Adrian Plass
0551032510;Colours of Survival;Adrian Plass
000649840X;Angelas Ashes;Frank Mccourt
0140431268;Far from the Madding Crowd (Penguin Classics);Thomas Hardy
0099771519;Memoirs of a Geisha Uk;Arthur Golden
0486265862;Who Were the Pharaohs?: A History of Their Names With a List of Cartouches;Stephen Quirke
067102535X;Last Dance, Last Chance (Ann Rule's Crime Files);Ann Rule
0876855575;Ham on Rye;Charles Bukowski
0330376136;Once;James Herbert
0140272658;Are You Experienced?;William Sutcliffe
3407780028;Oh, wie schÃ?Â¶n ist Panama;Janosch
3407780117;Komm, wir finden einen Schatz;Janosch
3257250398;Konig Babar;Jean de Brunhoff
3257250053;Die Geschichte Von Babar;Jean de Brunhoff
3257250460;Serafin und seine Wundermaschine.;Philippe Fix
3442435951;Ich schenk Dir meinen Mann.;Claudia Keller
3442435838;Die PrÃ?Â¼fung.;F. Paul Wilson
3608919724;Der kleine Taschentherapeut. In 60 Sekunden wieder o.k.;Arnold A. Lazarus
3453132262;Die Wolfsfrau. Die Kraft der weiblichen Urinstinkte.;Clarissa Pinkola Estes
379411664X;Was ist das?;Virginia Allen Jensen
340780573X;Post fÃ?Â¼r den Tiger;Janosch
3407805853;Das Leben der Thiere;Janosch
0385720920;Choke;CHUCK PALAHNIUK
0385498721;Survivor : A Novel;CHUCK PALAHNIUK
0972948503;Gifted Trust;John Paul Allen
0380813815;Lamb : The Gospel According to Biff, Christ's Childhood Pal;Christopher Moore
2070372294;"Le Coq De Bruygre (Folio Ser; No. 1229))";Tournier
2264030542;Retour Ã?Â  Brooklyn;Hubert Selby
0030615321;Ask for May, Settle for June (A Doonesbury book);G. B. Trudeau
0836217632;The Curse of Madame C : A Far Side Collection;Gary Larson
0140099832;Lake Wobegon Days;Garrison Keillor
0385314744;Rush Limbaugh Is a Big Fat Idiot: And Other Observations;Al Franken
0316107417;Happy Trails;Berke Breathed
0894803700;14,000 Things to Be Happy About;Barbara Ann Kipfer
0449221164;In the Frame;Dick Francis
0553801031;The New Rabbi : A Congregation Searches for Its Leader;STEPHEN FRIED
0590457225;Dealing With Dragons (Enchanted Forest Chronicles (Paperback));Patricia C. Wrede
0316929190;All Too Human : A Political Education;George Stephanopoulos
0553052845;Rubyfruit Jungle;Rita Mae Brown
0140390693;Little Women (Penguin Classics);Louisa May Alcott
0439404371;The Thief Lord;Cornelia Funke
0939766027;Fantastic Four Illustrated Books;Stan Lee
0679741011;Sex, Art, and American Culture: Essays;Camille Paglia
0345307674;Return of the Jedi (Star Wars);James Kahn
0425071421;Stranger in a Strange Land;Robert A. Heinlein
0345297687;Ship Who Sang;Anne McCaffrey
0766607119;Little Women (Treasury of Illustrated Classics);Louisa May Alcott
1573225789;The Color of Water: A Black Man's Tribute to His White Mother;James McBride
0380754843;Wayside School is Falling Down;Louis Sachar
0345368940;The Dolphins of Pern;Anne McCaffrey
0345331605;Dragonsdawn;Anne McCaffrey
